Componente,Curtosis Baseline,Curtosis Tarea,Delta Curtosis,Varianza Baseline,Varianza Tarea,Delta Varianza (%)
IC 1,165.082,1.158,-163.925,1.0,183.5275,18252.75
IC 2,0.682,1.304,0.622,1.0,468010.3383,46800933.83
IC 3,0.508,2.401,1.893,1.0,236104.6338,23610363.38
IC 4,0.31,0.952,0.641,1.0,163068.4531,16306745.31
IC 5,58.446,1.162,-57.284,1.0,597.0985,59609.85
IC 6,0.478,1.283,0.804,1.0,188025.2626,18802426.26
IC 7,3.104,0.847,-2.256,1.0,74574.0449,7457304.49
IC 8,3.48,0.883,-2.597,1.0,3842.0457,384104.57
IC 9,1.541,1.185,-0.355,1.0,593458.6594,59345765.94
IC 10,1.165,2.754,1.59,1.0,104124860.2777,10412485927.77
IC 11,0.311,1.316,1.004,1.0,263924.2016,26392320.16
IC 12,7.197,1.477,-5.721,1.0,614.892,61389.2
IC 13,6.085,0.997,-5.088,1.0,47845.1634,4784416.34
IC 14,0.819,2.616,1.796,1.0,23432.1336,2343113.36
IC 15,1.134,1.015,-0.119,1.0,52284.3767,5228337.67
IC 16,0.372,2.771,2.4,1.0,53340.4108,5333941.08
IC 17,0.735,0.939,0.205,1.0,150196.3124,15019531.24
IC 18,0.335,2.783,2.448,1.0,311457.9902,31145699.02
IC 19,0.582,1.063,0.481,1.0,515056.0124,51505501.24
IC 20,0.783,1.396,0.612,1.0,177370476.8284,17737047582.84
IC 21,0.464,1.497,1.032,1.0,1473187.5195,147318651.95
